	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
161	Related Proteins	P02751-1	Isoform 1 of Fibronectin (FINC_HUMAN)	P02751-1,P02751-10,P02751-14,P02751-17,P02751-3,P02751-4,P02751-5,P02751-6,P02751-8,P02751-9	P02751-10,P02751-14,P02751-17,P02751-3,P02751-4,P02751-5,P02751-6,P02751-8,P02751-9	2	FN1	Homo sapiens	9606	39.48	43.42	54.65	122	100	2	2	307	262	Oxidation of M (M118, M208, M209, M462, M476, M489, M492, M925, M1282, M1547);Pyrolidone from E (K654);Pyrolidone from Q (Y58, R378, K485, R1039, R1352);Pyrolidone from carbamidomethylated C (K184, K553)	Oxidation of M (10);Pyrolidone from E (1);Pyrolidone from Q (5);Pyrolidone from carbamidomethylated C (2)			134.62364899196962	262.4601018836144	100.0	Confident
162	Single Protein	OAS_antibody_pep_71002		OAS_antibody_pep_71002						100.0	100.0	100.0	3	2	1	1	5	4					74.21231802389701	2.11992441611343	100.0	Confident
163	Single Protein	P11226	Mannose-binding protein C (MBL2_HUMAN)	P11226		10	MBL2	Homo sapiens	9606	9.27	14.52	78.23	2	1	2	1	3	3					7.268216713680635	26.12700154820202	100.0	Doubtful
164	Related Proteins	OAS_antibody_pep_7875		OAS_antibody_pep_7875,OAS_antibody_pep_97985	OAS_antibody_pep_97985					100.0	100.0	100.0	2	1	2	1	3	3	Oxidation of M (M6)	Oxidation of M (1)			128.18491295036756	1.2806547065597602	98.24561403508771	Doubtful
165	Related Proteins	A0A0C4DH33	Immunoglobulin heavy variable 1-24 (HV124_HUMAN)	A0A0C4DH33,OAS_antibody_pep_10625,OAS_antibody_pep_13850,OAS_antibody_pep_19337,OAS_antibody_pep_21047,OAS_antibody_pep_23949,OAS_antibody_pep_26237,OAS_antibody_pep_33809,OAS_antibody_pep_60522,OAS_antibody_pep_7689	OAS_antibody_pep_10625,OAS_antibody_pep_13850,OAS_antibody_pep_19337,OAS_antibody_pep_21047,OAS_antibody_pep_23949,OAS_antibody_pep_26237,OAS_antibody_pep_33809,OAS_antibody_pep_60522,OAS_antibody_pep_7689	14	IGHV1-24	Homo sapiens	9606	12.82	12.82	92.31	1	1	1	1	1	1					6.527935381731681	12.81616031564082	100.0	Doubtful
166	Single Protein	OAS_antibody_pep_21218		OAS_antibody_pep_21218						100.0	100.0	100.0	3	2	2	1	5	5					78.33522458078019	1.9090268899526799	100.0	Confident
167	Single Protein	OAS_antibody_pep_1773		OAS_antibody_pep_1773						100.0	100.0	100.0	1	1	1	1	1	1					54.23207855592474	1.54976776216605	100.0	Doubtful
168	Related Proteins	OAS_antibody_pep_42		OAS_antibody_pep_18579,OAS_antibody_pep_26089,OAS_antibody_pep_29926,OAS_antibody_pep_31169,OAS_antibody_pep_40391,OAS_antibody_pep_41783,OAS_antibody_pep_42,OAS_antibody_pep_58752,OAS_antibody_pep_61593,OAS_antibody_pep_69513,OAS_antibody_pep_78205,OAS_antibody_pep_82242,P01782,P0DP04	OAS_antibody_pep_18579,OAS_antibody_pep_26089,OAS_antibody_pep_29926,OAS_antibody_pep_31169,OAS_antibody_pep_40391,OAS_antibody_pep_41783,OAS_antibody_pep_58752,OAS_antibody_pep_61593,OAS_antibody_pep_69513,OAS_antibody_pep_78205,OAS_antibody_pep_82242,P01782,P0DP04					100.0	100.0	100.0	5	3	2	2	8	7	Oxidation of M (M14)	Oxidation of M (1)			204.0838745657168	2.1759506308612697	100.0	Confident
169	Related Proteins	P04433	Immunoglobulin kappa variable 3-11 (KV311_HUMAN)	A0A0A0MRZ8,P04433	A0A0A0MRZ8	2	IGKV3-11	Homo sapiens	9606	7.83	22.61	37.39	3	1	2	1	5	3					49.18723403909453	12.56730392382245	89.83050847457628	Doubtful
170	Single Protein	ALBU_BOVIN		ALBU_BOVIN						23.72	38.88	86.66	65	41	16	8	426	317	Pyrolidone from E (K265, L273, S492);Pyrolidone from Q (K116);Pyrolidone from carbamidomethylated C (C267, K497)	Pyrolidone from E (3);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (2)			215.12401503219957	69.24844068501874	100.0	Confident
171	Related Proteins	P60709	Actin, cytoplasmic 1 (ACTB_HUMAN)	P60709,P63261	P63261	7	ACTB	Homo sapiens	9606	20.8	32.27	68.0	11	7	6	5	21	15	Oxidation of M (M43, M46, M304)	Oxidation of M (3)			38.70681685167962	41.70973013902917	100.0	Confident
172	Related Proteins	Q15485	Ficolin-2 (FCN2_HUMAN)	Q15485,Q15485-2	Q15485-2	9	FCN2	Homo sapiens	9606	4.15	4.15	61.02	1	1	1	1	2	2					7.3823771856232625	33.97952220447975	89.47368421052632	Doubtful
173	Single Protein	A0A0C4DH72	Immunoglobulin kappa variable 1-6 (KV106_HUMAN)	A0A0C4DH72		2	IGKV1-6	Homo sapiens	9606	39.32	52.14	64.1	12	8	2	2	29	26	Oxidation of M (M25)	Oxidation of M (1)			185.18447090896436	12.68935215405151	100.0	Confident
174	Single Protein	P27918	Properdin (PROP_HUMAN)	P27918		X	CFP	Homo sapiens	9606	4.26	8.32	52.67	3	1	3	1	3	3					2.854319923996039	51.2419909763481	98.24561403508771	Doubtful
175	Single Protein	OAS_antibody_pep_2606		OAS_antibody_pep_2606						100.0	100.0	100.0	1	1	1	1	1	1					54.23207855592474	1.43773646203777	100.0	Doubtful
176	Single Protein	P43251-2	Isoform 2 of Biotinidase (BTD_HUMAN)	P43251-2		3	BTD	Homo sapiens	9606	9.36	12.29	55.23	6	4	6	4	11	9					21.080243159611943	61.47050719879876	100.0	Confident
177	Single Protein	P00746	Complement factor D (CFAD_HUMAN)	P00746		19	CFD	Homo sapiens	9606	32.41	32.41	73.52	4	4	4	4	6	4					15.161656370473585	27.015864925593778	100.0	Confident
178	Related Proteins	P04406	Glyceraldehyde-3-phosphate dehydrogenase (G3P_HUMAN)	P04406,P04406-2	P04406-2	12	GAPDH	Homo sapiens	9606	7.16	19.1	70.45	5	2	5	2	7	3	Oxidation of M (M174)	Oxidation of M (1)			8.962080778309597	36.03039786921076	100.0	Confident
179	Single Protein	P05546	Heparin cofactor 2 (HEP2_HUMAN)	P05546		22	SERPIND1	Homo sapiens	9606	36.27	43.09	64.53	23	19	22	18	47	36	Oxidation of M (M306);Pyrolidone from E (Y192);Pyrolidone from Q (K227)	Oxidation of M (1);Pyrolidone from E (1);Pyrolidone from Q (1)			72.253297206496	57.03420388024521	100.0	Confident
180	Related Proteins	A0A0C4DH38	Immunoglobulin heavy variable 5-51 (HV551_HUMAN)	A0A0C4DH38,OAS_antibody_pep_10003,OAS_antibody_pep_11998,OAS_antibody_pep_2982,OAS_antibody_pep_32605,OAS_antibody_pep_42725,OAS_antibody_pep_6170,OAS_antibody_pep_6341,OAS_antibody_pep_76423,OAS_antibody_pep_7764	OAS_antibody_pep_10003,OAS_antibody_pep_11998,OAS_antibody_pep_2982,OAS_antibody_pep_32605,OAS_antibody_pep_42725,OAS_antibody_pep_6170,OAS_antibody_pep_6341,OAS_antibody_pep_76423,OAS_antibody_pep_7764	14	IGHV5-51	Homo sapiens	9606	13.68	13.68	67.52	1	1	1	1	5	5					44.62133045740643	12.66629996736628	100.0	Doubtful
181	Related Proteins	CO5_HUMAN		CO5_HUMAN,P01031	P01031					26.19	35.5	60.62	59	39	55	37	127	103	Oxidation of M (M858)	Oxidation of M (1)			64.53403836034745	188.21218609713097	100.0	Confident
182	Single Protein	OAS_antibody_pep_2773		OAS_antibody_pep_2773						100.0	100.0	100.0	5	3	2	1	7	7	Pyrolidone from E (E0)	Pyrolidone from E (1)			142.2402762124693	1.86697993976026	100.0	Confident
183	Single Protein	P04114	Apolipoprotein B-100 (APOB_HUMAN)	P04114		2	APOB	Homo sapiens	9606	56.52	62.57	73.7	404	322	402	322	1269	1088	Oxidation of M (M30, M277, M494, M521, M563, M565, M749, M754, M800, M811, M886, M900, M1106, M1188, M1220, M1233, M1265, M1464, M1904, M2041, M2177, M2421, M2522, M2596, M2667, M3279, M3420, M3457, M3745, M4218);Pyrolidone from E (K1258);Pyrolidone from Q (K138, L378, R2084, F2611, F4163);Pyrolidone from carbamidomethylated C (Q383, Q388, K511)	Oxidation of M (30);Pyrolidone from E (1);Pyrolidone from Q (5);Pyrolidone from carbamidomethylated C (3)			220.33092159072248	515.2829109179168	100.0	Confident
184	Single Protein	P01876	Immunoglobulin heavy constant alpha 1 (IGHA1_HUMAN)	P01876		14	IGHA1	Homo sapiens	9606	63.74	65.72	46.74	44	41	28	27	183	166	Oxidation of M (M313);Pyrolidone from E (S236, E237);Pyrolidone from Q (R281)	Oxidation of M (1);Pyrolidone from E (2);Pyrolidone from Q (1)			606.7419212984064	37.63063836958315	100.0	Confident
185	Related Proteins	A0A0B4J1Y9	Immunoglobulin heavy variable 3-72 (HV372_HUMAN)	A0A0B4J1Y9,OAS_antibody_pep_1445	OAS_antibody_pep_1445	14	IGHV3-72	Homo sapiens	9606	15.97	15.97	59.66	2	2	1	1	2	2					19.859634400761173	13.1944979834214	95.08196721311475	Confident
186	Single Protein	P98160	Basement membrane-specific heparan sulfate proteoglycan core protein (PGBM_HUMAN)	P98160		1	HSPG2	Homo sapiens	9606	0.73	1.82	50.72	6	2	6	2	6	2					0.6331540379227855	468.53247397938543	100.0	Confident
187	Single Protein	P08519	Apolipoprotein(a) (APOA_HUMAN)	P08519		6	LPA	Homo sapiens	9606	20.05	27.16	57.35	24	18	19	14	33	30	Pyrolidone from carbamidomethylated C (T1635, K1814)	Pyrolidone from carbamidomethylated C (2)			13.627364007505072	226.39906232730164	100.0	Confident
188	Related Proteins	OAS_antibody_pep_18119		OAS_antibody_pep_18119,OAS_antibody_pep_34215	OAS_antibody_pep_34215					100.0	100.0	100.0	1	1	1	1	1	1					58.75141843558513	1.2595604718217501	95.38461538461537	Doubtful
189	Related Proteins	Q16610	Extracellular matrix protein 1 (ECM1_HUMAN)	Q16610,Q16610-4	Q16610-4	1	ECM1	Homo sapiens	9606	4.07	10.19	74.07	5	2	4	2	7	3					5.287627659202662	60.63527514957485	99.68354430379746	Confident
190	Related Proteins	P10909	Clusterin (CLUS_HUMAN)	P10909,P10909-2,P10909-5,P10909-6	P10909-2,P10909-5,P10909-6	8	CLU	Homo sapiens	9606	37.86	43.43	68.82	34	27	2	2	88	78	Oxidation of M (M33, M171, M175);Pyrolidone from Q (R166)	Oxidation of M (3);Pyrolidone from Q (1)	Phosphorylation of S (T393-{390 393 395 399})	Phosphorylation of S (1)	166.55741925428018	52.46100582701126	100.0	Confident
191	Single Protein	P11684	Uteroglobin (UTER_HUMAN)	P11684		11	SCGB1A1	Homo sapiens	9606	10.99	10.99	34.07	1	1	1	1	1	1					22.742484555710373	9.98707720370014	96.55172413793103	Doubtful
192	Related Proteins	P02753	Retinol-binding protein 4 (RET4_HUMAN)	P02753,RETBP_HUMAN	RETBP_HUMAN	10	RBP4	Homo sapiens	9606	59.2	70.15	73.63	18	12	18	12	38	32	Pyrolidone from Q (R170)	Pyrolidone from Q (1)			138.1452271323218	22.99525819286692	100.0	Confident
193	Single Protein	P02745	Complement C1q subcomponent subunit A (C1QA_HUMAN)	P02745		1	C1QA	Homo sapiens	9606	9.39	12.24	67.35	4	2	4	2	11	8					34.18264345343135	26.000187502873388	100.0	Confident
194	Single Protein	OAS_antibody_pep_11693		OAS_antibody_pep_11693						100.0	100.0	100.0	4	4	2	2	11	10	Pyrolidone from E (E0)	Pyrolidone from E (1)			273.1425593935098	1.9040115742417099	100.0	Confident
195	Single Protein	P02747	Complement C1q subcomponent subunit C (C1QC_HUMAN)	P02747		1	C1QC	Homo sapiens	9606	12.65	18.78	67.35	4	3	4	3	11	9	Pyrolidone from Q (R125)	Pyrolidone from Q (1)			38.455473885110266	25.75713804854492	100.0	Confident
196	Single Protein	Q9NZP8	Complement C1r subcomponent-like protein (C1RL_HUMAN)	Q9NZP8		12	C1RL	Homo sapiens	9606	8.01	11.29	55.03	10	5	4	2	22	18	Pyrolidone from Q (R408)	Pyrolidone from Q (1)			23.67594474269849	53.464344389069936	99.66777408637874	Confident
197	Single Protein	P02765	Alpha-2-HS-glycoprotein (FETUA_HUMAN)	P02765		3	AHSG	Homo sapiens	9606	37.87	41.69	49.59	34	30	34	30	161	146	Oxidation of M (M320);Pyrolidone from E (K105);Pyrolidone from Q (R102);Pyrolidone from carbamidomethylated C (K130)	Oxidation of M (1);Pyrolidone from E (1);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (1)	Phosphorylation of S (S134-{133 134 137},V324-{324 327 329 333})	Phosphorylation of S (2)	557.8156651466545	39.31568748803731	100.0	Confident
198	Single Protein	OAS_antibody_pep_80685		OAS_antibody_pep_80685						100.0	100.0	100.0	1	1	1	1	1	1					37.106159011948506	1.85296428969612	100.0	Doubtful
199	Single Protein	Q96FV0	Leucine-rich repeat-containing protein 46 (LRC46_HUMAN)	Q96FV0		17	LRRC46	Homo sapiens	9606	4.05	11.53	68.22	3	1	3	1	5	2					6.4385116093791925	35.31787290699715	87.3015873015873	Doubtful
200	Single Protein	P13796	Plastin-2 (PLSL_HUMAN)	P13796		13	LCP1	Homo sapiens	9606	15.15	26.48	79.59	14	7	8	5	18	11	Oxidation of M (M403)	Oxidation of M (1)			14.128597619779992	70.24389151037924	100.0	Confident
201	Single Protein	P01717	Immunoglobulin lambda variable 3-25 (LV325_HUMAN)	P01717		22	IGLV3-25	Homo sapiens	9606	27.68	27.68	33.93	3	3	2	2	5	3					55.65923851792275	12.003842435427739	100.0	Confident
202	Related Proteins	HBA_HUMAN		HBA_HUMAN,P69905	P69905					67.38	67.38	51.77	9	8	8	7	37	30	Oxidation of M (M31)	Oxidation of M (1)			289.73302242206364	15.11688509743921	100.0	Confident
203	Single Protein	Q04756	Hepatocyte growth factor activator (HGFA_HUMAN)	Q04756		4	HGFAC	Homo sapiens	9606	15.88	19.39	54.81	9	7	9	7	14	12	Oxidation of M (M117);Pyrolidone from carbamidomethylated C (K533)	Oxidation of M (1);Pyrolidone from carbamidomethylated C (1)			23.566028564691532	70.63608528657362	100.0	Confident
204	Single Protein	P18428	Lipopolysaccharide-binding protein (LBP_HUMAN)	P18428		20	LBP	Homo sapiens	9606	16.22	16.22	43.87	7	6	7	6	20	11					36.75444186491581	53.34991319002578	100.0	Confident
205	Single Protein	Q15113	Procollagen C-endopeptidase enhancer 1 (PCOC1_HUMAN)	Q15113		7	PCOLCE	Homo sapiens	9606	2.9	4.9	59.91	2	1	2	1	3	3					5.241762239606109	47.94198022504237	100.0	Doubtful
206	Related Proteins	MYG_HUMAN		MYG_HUMAN,P02144	P02144					9.15	9.15	86.27	1	1	1	1	2	2					10.682076079197298	17.041914295891008	100.0	Doubtful
207	Single Protein	P29622	Kallistatin (KAIN_HUMAN)	P29622		14	SERPINA4	Homo sapiens	9606	38.17	41.92	78.92	19	16	19	16	42	37					73.22135235295477	48.511158136777816	100.0	Confident
208	Single Protein	Q9UNN8	Endothelial protein C receptor (EPCR_HUMAN)	Q9UNN8		20	PROCR	Homo sapiens	9606	7.14	7.14	41.6	1	1	1	1	2	2					14.242768105596399	26.65458019394553	100.0	Doubtful
209	Single Protein	OAS_antibody_pep_7976		OAS_antibody_pep_7976						100.0	100.0	100.0	1	1	1	1	3	3	Pyrolidone from Q (Q0)	Pyrolidone from Q (1)			132.19069148006656	1.6178587024287698	100.0	Doubtful
210	Related Proteins	Q9NQ79	Cartilage acidic protein 1 (CRAC1_HUMAN)	Q9NQ79,Q9NQ79-2,Q9NQ79-3	Q9NQ79-2,Q9NQ79-3	10	CRTAC1	Homo sapiens	9606	3.18	3.18	54.61	1	1	1	1	1	1					1.952955737470974	71.37580872297269	89.47368421052632	Doubtful
211	Single Protein	OAS_antibody_pep_7518		OAS_antibody_pep_7518						100.0	100.0	100.0	1	1	1	1	1	1					58.75141843558513	1.29370409928033	100.0	Doubtful
212	Related Proteins	OAS_antibody_pep_16012		OAS_antibody_pep_16012,OAS_antibody_pep_22059,OAS_antibody_pep_25068,OAS_antibody_pep_37354,OAS_antibody_pep_42550,OAS_antibody_pep_63995,OAS_antibody_pep_66,OAS_antibody_pep_70238,OAS_antibody_pep_73215,OAS_antibody_pep_80967,P01762	OAS_antibody_pep_22059,OAS_antibody_pep_25068,OAS_antibody_pep_37354,OAS_antibody_pep_42550,OAS_antibody_pep_63995,OAS_antibody_pep_66,OAS_antibody_pep_70238,OAS_antibody_pep_73215,OAS_antibody_pep_80967,P01762					100.0	100.0	100.0	1	1	1	1	1	1					37.106159011948506	2.20397069759951	100.0	Doubtful
213	Single Protein	OAS_antibody_pep_57604		OAS_antibody_pep_57604						100.0	100.0	100.0	1	1	1	1	2	2					100.71671731814594	1.65579437083671	100.0	Doubtful
214	Single Protein	OAS_antibody_pep_66733		OAS_antibody_pep_66733						100.0	100.0	100.0	3	2	1	1	5	4					78.33522458078019	1.94800140348083	100.0	Confident
215	Single Protein	OAS_antibody_pep_22424		OAS_antibody_pep_22424						100.0	100.0	100.0	3	3	2	2	5	5					115.44138359272868	1.8800115742417098	100.0	Confident
216	Single Protein	P01011	Alpha-1-antichymotrypsin (AACT_HUMAN)	P01011		14	SERPINA3	Homo sapiens	9606	63.83	71.16	74.7	78	61	52	39	206	175	Oxidation of M (M203, M204, M218, M239, M242, M243, M283, M289, M400);Pyrolidone from E (K143)	Oxidation of M (9);Pyrolidone from E (1)			379.28130888795465	47.620536412480796	100.0	Confident
217	Single Protein	P04196	Histidine-rich glycoprotein (HRG_HUMAN)	P04196		3	HRG	Homo sapiens	9606	31.62	31.62	60.76	22	17	22	17	56	49	Oxidation of M (M516)	Oxidation of M (1)			103.87398118391853	59.540867687960834	100.0	Confident
218	Single Protein	P02790	Hemopexin (HEMO_HUMAN)	P02790		11	HPX	Homo sapiens	9606	73.38	76.84	62.77	83	72	81	70	387	307	Oxidation of M (M176, M228, M374, M408);Pyrolidone from E (R165, K346);Pyrolidone from Q (R101);Pyrolidone from carbamidomethylated C (Y198, R255, Y433)	Oxidation of M (4);Pyrolidone from E (2);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (3)			736.6212325234054	51.64327297890149	100.0	Confident
219	Related Proteins	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 (ITIH3_HUMAN)	Q06033,Q06033-2	Q06033-2	3	ITIH3	Homo sapiens	9606	34.38	38.54	65.39	43	36	42	35	76	66	Oxidation of M (M64, M168, M535, M600, M801);Pyrolidone from Q (Y491)	Oxidation of M (5);Pyrolidone from Q (1)			78.73901439820688	99.78653330508264	100.0	Confident
220	Single Protein	P01034	Cystatin-C (CYTC_HUMAN)	P01034		20	CST3	Homo sapiens	9606	23.29	23.29	71.23	2	2	2	2	3	3					20.33702945847178	15.78908087348393	99.672131147541	Confident
221	Related Proteins	P02679	Fibrinogen gamma chain (FIBG_HUMAN)	P02679,P02679-2	P02679-2	4	FGG	Homo sapiens	9606	11.92	11.92	84.77	3	3	3	3	3	3					5.507945478336106	51.478866849601054	100.0	Confident
222	Related Proteins	O75636	Ficolin-3 (FCN3_HUMAN)	O75636,O75636-2	O75636-2	1	FCN3	Homo sapiens	9606	34.11	34.11	66.89	10	10	10	10	19	18	Pyrolidone from Q (T22)	Pyrolidone from Q (1)			63.451531910431946	32.88198957668537	100.0	Confident
223	Single Protein	P01814	Immunoglobulin heavy variable 2-70 (HV270_HUMAN)	P01814		14	IGHV2-70	Homo sapiens	9606	33.61	36.13	63.87	3	2	1	1	8	7					60.29750839441632	13.251723383596689	100.0	Confident
224	Related Proteins	Q9H4A9	Dipeptidase 2 (DPEP2_HUMAN)	Q9H4A9,Q9H4A9-3	Q9H4A9-3	16	DPEP2	Homo sapiens	9606	3.29	3.29	68.52	1	1	1	1	1	1					2.1171682319129776	53.33133378212831	100.0	Doubtful
225	Single Protein	P35555	Fibrillin-1 (FBN1_HUMAN)	P35555		15	FBN1	Homo sapiens	9606	0.52	0.52	59.84	1	1	1	1	1	1					0.4103707923323758	312.0825356324179	100.0	Doubtful
226	Single Protein	Q13093	Platelet-activating factor acetylhydrolase (PAFA_HUMAN)	Q13093		6	PLA2G7	Homo sapiens	9606	8.62	13.15	74.83	4	2	4	2	5	4					6.409245647518378	50.045295716388594	100.0	Confident
227	Single Protein	P02786	Transferrin receptor protein 1 (TFR1_HUMAN)	P02786		3	TFRC	Homo sapiens	9606	4.34	5.66	67.89	3	2	3	2	4	3					4.098936169924544	84.81794354456807	100.0	Confident
228	Related Proteins	P04278	Sex hormone-binding globulin (SHBG_HUMAN)	P04278,P04278-2,P04278-3,P04278-4	P04278-2,P04278-3,P04278-4	17	SHBG	Homo sapiens	9606	14.93	16.67	69.4	6	5	3	2	8	6					15.161656370473585	43.75181552157681	96.49122807017544	Confident
229	Related Proteins	Q12805	EGF-containing fibulin-like extracellular matrix protein 1 (FBLN3_HUMAN)	Q12805,Q12805-2,Q12805-3,Q12805-4,Q12805-5	Q12805-2,Q12805-3,Q12805-4,Q12805-5	2	EFEMP1	Homo sapiens	9606	4.87	4.87	62.27	3	3	3	3	4	4	Oxidation of M (M384)	Oxidation of M (1)			9.185889527387904	54.60423386558879	99.66996699669967	Confident
230	Single Protein	A0A075B6I0	Immunoglobulin lambda variable 8-61 (LV861_HUMAN)	A0A075B6I0		22	IGLV8-61	Homo sapiens	9606	15.57	22.95	18.03	3	2	3	2	4	3					96.13868471277567	12.806123638265241	99.68354430379746	Confident
231	Related Proteins	HBB_HUMAN		HBB_HUMAN,P68871	P68871					76.71	76.71	90.41	16	14	7	6	52	49	Oxidation of M (M54)	Oxidation of M (1)			176.2542553067554	15.85724969335389	100.0	Confident
232	Single Protein	P04004	Vitronectin (VTNC_HUMAN)	P04004		17	VTN	Homo sapiens	9606	28.87	30.13	60.25	20	18	20	18	66	57	Oxidation of M (M349, M421);Pyrolidone from carbamidomethylated C (R26)	Oxidation of M (2);Pyrolidone from carbamidomethylated C (1)			137.08664301636531	54.271167678597564	100.0	Confident
233	Single Protein	P62328	Thymosin beta-4 (TYB4_HUMAN)	P62328		X	TMSB4X	Homo sapiens	9606	31.82	31.82	81.82	1	1	1	1	2	2	Acetylation of protein N-term (M0)	Acetylation of protein N-term (1)			39.16761229039009	5.0495162370482705	100.0	Doubtful
234	Single Protein	Q96KN2	Beta-Ala-His dipeptidase (CNDP1_HUMAN)	Q96KN2		18	CNDP1	Homo sapiens	9606	19.33	21.3	73.57	9	8	9	8	12	11					20.79138668497919	56.65610655748207	100.0	Confident
235	Single Protein	P36955	Pigment epithelium-derived factor (PEDF_HUMAN)	P36955		17	SERPINF1	Homo sapiens	9606	28.71	40.43	62.2	13	9	13	9	28	24					59.65528641151722	46.28330531136291	100.0	Confident
236	Single Protein	Q99969	Retinoic acid receptor responder protein 2 (RARR2_HUMAN)	Q99969		7	RARRES2	Homo sapiens	9606	7.36	7.36	68.71	1	1	1	1	3	3					18.88438449715236	18.60575542989156	87.3015873015873	Doubtful
237	Single Protein	Q5T5X7	BEN domain-containing protein 3 (BEND3_HUMAN)	Q5T5X7		6	BEND3	Homo sapiens	9606	1.09	2.78	80.07	3	1	3	1	23	4					4.253496357327431	94.41540614479476	100.0	Doubtful
238	Single Protein	OAS_antibody_pep_85339		OAS_antibody_pep_85339						100.0	100.0	100.0	3	3	1	1	7	7	Pyrolidone from Q (Q0)	Pyrolidone from Q (1)			216.4525942363663	1.87499625853074	100.0	Confident
239	Single Protein	P11150	Hepatic triacylglycerol lipase (LIPC_HUMAN)	P11150		15	LIPC	Homo sapiens	9606	3.01	3.01	52.51	1	1	1	1	3	3					8.072713983515515	55.87873788202878	100.0	Doubtful
240	Related Proteins	P01615	Immunoglobulin kappa variable 2D-28 (KVD28_HUMAN)	A0A075B6P5,P01615	A0A075B6P5	2	IGKV2D-28	Homo sapiens	9606	36.67	36.67	32.5	4	4	1	1	9	8					132.5673031367049	12.94845774131886	100.0	Confident
241	Single Protein	OAS_antibody_pep_107		OAS_antibody_pep_107						100.0	100.0	100.0	4	4	2	2	10	10	Pyrolidone from E (E0)	Pyrolidone from E (1)			273.1425593935098	1.8950112398885401	100.0	Confident
242	Single Protein	P02743	Serum amyloid P-component (SAMP_HUMAN)	P02743		1	APCS	Homo sapiens	9606	21.97	27.8	47.53	7	5	7	5	13	10					59.85993576455843	25.37113084403218	100.0	Confident
243	Single Protein	Q07954	Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN)	Q07954		12	LRP1	Homo sapiens	9606	0.73	1.43	66.15	5	2	5	2	5	2					0.4690732010825161	504.2758511194463	99.672131147541	Confident
244	Related Proteins	OAS_antibody_pep_31832		OAS_antibody_pep_31832,OAS_antibody_pep_32254	OAS_antibody_pep_32254					100.0	100.0	100.0	1	1	1	1	1	1					37.106159011948506	2.02393967225475	100.0	Doubtful
245	Single Protein	P02763	Alpha-1-acid glycoprotein 1 (A1AG1_HUMAN)	P02763		9	ORM1	Homo sapiens	9606	46.27	50.75	70.65	29	25	24	21	170	138	Oxidation of M (M128);Pyrolidone from E (Q112, K152)	Oxidation of M (1);Pyrolidone from E (2)			628.0609379240722	23.52480184949533	100.0	Confident
246	Related Proteins	A0A075B6S2	Immunoglobulin kappa variable 2D-29 (KVD29_HUMAN)	A0A075B6S2,A2NJV5	A2NJV5	2	IGKV2D-29	Homo sapiens	9606	29.17	38.33	60.0	5	3	2	1	8	5					32.63967690865841	13.13466012952352	100.0	Confident
247	Single Protein	P12259	Coagulation factor V (FA5_HUMAN)	P12259		1	F5	Homo sapiens	9606	10.21	15.78	54.05	29	19	28	19	54	41	Pyrolidone from Q (K1854)	Pyrolidone from Q (1)			22.8749283093626	251.54551611128184	100.0	Confident
248	Single Protein	P04003	C4b-binding protein alpha chain (C4BPA_HUMAN)	P04003		1	C4BPA	Homo sapiens	9606	54.27	61.14	64.15	52	43	52	43	156	146	Oxidation of M (M248);Pyrolidone from Q (Y356);Pyrolidone from carbamidomethylated C (R330, K536)	Oxidation of M (1);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (2)			259.54934724023514	66.98939708214436	100.0	Confident
249	Single Protein	P02750	Leucine-rich alpha-2-glycoprotein (A2GL_HUMAN)	P02750		19	LRG1	Homo sapiens	9606	42.94	49.28	62.82	13	11	13	11	27	25	Pyrolidone from E (K147)	Pyrolidone from E (1)			77.61655279563541	38.15411108326593	100.0	Confident
250	Single Protein	P08185	Corticosteroid-binding globulin (CBG_HUMAN)	P08185		14	SERPINA6	Homo sapiens	9606	23.46	25.43	53.58	13	10	13	10	33	30	Oxidation of M (M272);Pyrolidone from Q (F108)	Oxidation of M (1);Pyrolidone from Q (1)			90.96993822284149	45.111907339200364	100.0	Confident
251	Related Proteins	Q8NE71	ATP-binding cassette sub-family F member 1 (ABCF1_HUMAN)	Q8NE71,Q8NE71-2	Q8NE71-2	6	ABCF1	Homo sapiens	9606	1.3	2.84	63.2	2	1	2	1	8	2					2.6405131881161856	95.86647554074221	89.47368421052632	Doubtful
252	Single Protein	OAS_antibody_pep_3218		OAS_antibody_pep_3218						100.0	100.0	100.0	1	1	1	1	1	1					44.06356382668885	1.6238944192311502	100.0	Doubtful
253	Single Protein	OAS_antibody_pep_69154		OAS_antibody_pep_69154						100.0	100.0	100.0	2	2	2	2	3	3	Pyrolidone from E (E0)	Pyrolidone from E (1)			176.2542553067554	1.29468811486302	100.0	Confident
